"ITTER107","Territorio","TIPO_DATO7","Indicatori trasporto aereo","ARRIVO_PARTENZA","Arrivo-Partenza                  ","AEROPORTI","Aeroporti ","SERVIZIO_AEREO_TIPO","Tipo di servizio aereo","ISO","Nazionalità vettore","ISO_OD","Origine / Destinazione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","ASI","Asia","2018","2018",4217847,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","ASI","Asia","2017","2017",91763,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","ASI","Asia","2018","2018",74435,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","ASI","Asia","2017","2017",4009382,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","ASI","Asia","2018","2018",4292282,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","EUR","Europa","2017","2017",46610006,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","EUR","Europa","2018","2018",49479670,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","EUR","Europa","2017","2017",1399755,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","EUR","Europa","2018","2018",1523238,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","EUR","Europa","2017","2017",48009761,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","EUR","Europa","2018","2018",51002908,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","ASI_OTH","Altri Paesi dell'Asia","2017","2017",1421442,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","ASI_OTH","Altri Paesi dell'Asia","2018","2018",1552185,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","ASI_OTH","Altri Paesi dell'Asia","2017","2017",15239,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","ASI_OTH","Altri Paesi dell'Asia","2018","2018",2449,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","ASI_OTH","Altri Paesi dell'Asia","2017","2017",1436681,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","ASI_OTH","Altri Paesi dell'Asia","2018","2018",1554634,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","AU","Australia","2017","2017",0,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","AU","Australia","2018","2018",0,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","AU","Australia","2017","2017",0,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","AU","Australia","2018","2018",0,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","AU","Australia","2017","2017",0,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","AU","Australia","2018","2018",0,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","ASI","Asia","2017","2017",9500,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","ASI","Asia","2018","2018",9936,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","ASI","Asia","2017","2017",1496433,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","ASI","Asia","2018","2018",1449662,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","ASI","Asia","2017","2017",723,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","ASI","Asia","2018","2018",465,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","ASI","Asia","2017","2017",91437,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","ASI","Asia","2018","2018",44549,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","ASI","Asia","2017","2017",10223,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","ASI","Asia","2018","2018",10401,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","ASI","Asia","2017","2017",1587870,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","ASI","Asia","2018","2018",1494211,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","EUR","Europa","2017","2017",83933,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","EUR","Europa","2018","2018",86815,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","EUR","Europa","2017","2017",8850677,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","EUR","Europa","2018","2018",8821853,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","EUR","Europa","2017","2017",2613,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","EUR","Europa","2018","2018",1812,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","EUR","Europa","2017","2017",345523,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","EUR","Europa","2018","2018",237370,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","EUR","Europa","2017","2017",86546,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","EUR","Europa","2018","2018",88627,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","EUR","Europa","2017","2017",9196200,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","EUR","Europa","2018","2018",9059223,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2017","2017",3299,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2018","2018",4198,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2017","2017",594150,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2018","2018",704429,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2017","2017",31,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2018","2018",9,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2017","2017",6355,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2018","2018",1892,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2017","2017",3330,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2018","2018",4207,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2017","2017",600505,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2018","2018",706321,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","AU","Australia","2017","2017",0,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","AU","Australia","2018","2018",0,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","AU","Australia","2017","2017",0,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","AU","Australia","2018","2018",0,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","AU","Australia","2017","2017",0,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","AU","Australia","2018","2018",0,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","AU","Australia","2017","2017",0,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","AU","Australia","2018","2018",0,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","AU","Australia","2017","2017",0,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","AU","Australia","2018","2018",0,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","AU","Australia","2017","2017",0,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","AU","Australia","2018","2018",0,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","ASI","Asia","2017","2017",44415,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","ASI","Asia","2018","2018",45858,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","ASI","Asia","2017","2017",7811475,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","ASI","Asia","2018","2018",8410604,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","ASI","Asia","2017","2017",2141,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","ASI","Asia","2018","2018",1611,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","ASI","Asia","2017","2017",185177,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","ASI","Asia","2018","2018",150323,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","ASI","Asia","2017","2017",46556,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","ASI","Asia","2018","2018",47469,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","ASI","Asia","2017","2017",7996652,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","ASI","Asia","2018","2018",8560927,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","EUR","Europa","2017","2017",724007,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","EUR","Europa","2018","2018",754100,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","EUR","Europa","2017","2017",93163121,,
"IT","Italia","PASS","passeggeri trasportati","ALL","Totale","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","EUR","Europa","2018","2018",98822510,,
"IT","Italia","FLIGHT","movimenti commerciali","ALL","Totale","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","EUR","Europa","2017","2017",28660,,
